7,6,6,5,7,5,7,6,6,1,6,5,13,1,5,12,7,6,6,6,1,1,6,6,5
9,7,5,9,9,10,8,12,7,2,13,3,6,8,9,9,9,13,5,7,8,14,7,5,14
4,8,9,9,10,5,13,2,9,14,7,5,13,6,2,9,10,5,9,10,6,6,8,10,5
14,7,8,10,5,10,5,9,10,6,8,10,6,5,10,0,11,9,4,5,7,6,5,7,8
7,8,7,5,10,5,10,3,1,6,11,7,5,10,5,14,7,8,9,9,9,7,8,10,5
4,5,14,10,6,3,6,11,9,7,6,8,10,5,9,7,8,7,8,9,9,10,6,5,9
9,10,5,7,6,6,6,6,8,9,13,5,7,8,9,10,5,14,7,8,10,5,13,3,8
14,7,8,4,6,6,6,11,7,8,7,2,9,13,3,6,3,5,10,1,5,10,6,6,5
7,8,7,8,7,6,6,6,8,7,8,14,10,5,7,6,5,10,6,8,4,6,11,7,8
4,5,9,13,8,7,1,6,5,10,6,6,5,10,8,12,10,6,6,5,14,7,6,8,12
9,10,8,7,5,9,10,5,10,6,6,5,10,6,5,4,6,1,11,9,7,8,7,1,2
9,12,7,8,9,9,12,10,5,7,6,8,7,6,2,9,12,10,6,8,9,12,9,9,14
9,9,9,12,9,9,4,5,9,10,6,5,9,12,9,9,10,6,6,1,8,10,8,10,5
9,10,3,8,9,10,8,9,9,13,6,3,8,4,8,10,6,6,5,9,7,6,6,5,9
9,7,6,5,9,7,6,8,10,6,5,7,6,8,13,1,5,12,10,8,9,13,5,9,9
9,10,5,4,8,9,7,6,6,11,9,10,6,6,6,8,10,2,7,5,10,5,9,10,2
9,7,8,14,7,3,8,7,6,5,4,6,5,7,11,7,5,10,8,10,6,8,4,5,9
9,4,6,6,8,7,6,8,12,9,10,11,9,9,7,8,10,1,6,6,11,7,8,10,8
9,14,7,6,6,8,12,7,2,9,7,6,8,9,10,5,12,10,5,7,6,8,13,6,5
10,6,8,13,6,6,3,8,10,3,8,13,6,3,6,3,3,11,10,3,6,6,6,6,8
