1,6,3,5,5,5,5,6,3,7,5,6,3,6,2,3,5,7,6,3,5,6,1,7,6
3,12,10,3,5,5,6,10,10,10,1,13,12,9,12,10,2,10,9,12,1,13,6,8,10
11,6,9,12,3,5,12,9,12,9,5,5,6,3,5,13,14,10,3,5,6,2,9,6,10
8,9,7,4,9,5,6,3,6,1,7,6,9,12,3,6,8,10,10,2,10,11,6,9,14
3,5,12,3,6,3,12,10,9,6,10,10,3,5,12,9,6,10,11,12,10,10,9,5,12
10,3,6,10,9,12,3,12,2,9,14,8,9,6,3,4,10,11,12,3,12,9,6,3,4
11,12,9,12,3,7,12,2,11,5,12,3,5,12,9,6,10,8,3,12,1,6,10,9,6
10,1,5,5,12,10,2,11,13,5,4,9,6,3,7,12,10,3,12,3,7,14,9,5,14
9,5,5,5,6,10,9,12,3,5,7,6,10,8,9,5,13,12,1,12,10,9,4,3,12
3,5,7,6,10,9,5,5,12,3,12,10,9,5,5,5,5,6,3,6,9,5,6,9,6
9,6,10,8,10,3,5,5,5,12,3,12,1,6,3,5,5,12,10,9,5,5,13,6,10
2,10,9,6,10,11,5,6,3,6,9,5,7,12,10,3,6,3,14,3,6,1,5,12,10
10,9,6,9,12,11,4,10,10,11,5,6,10,3,12,8,9,12,9,12,10,3,5,6,10
11,6,10,3,5,12,3,12,8,10,3,12,10,9,5,5,5,6,3,6,9,14,3,12,10
10,10,10,9,7,4,9,5,6,10,10,3,12,3,5,5,6,10,10,9,6,8,10,3,12
10,9,12,1,12,3,6,3,12,10,8,9,6,9,5,6,8,10,9,6,9,6,11,12,2
9,5,5,5,5,12,10,9,6,9,7,6,9,5,6,9,6,11,4,10,3,12,9,6,10
2,3,5,5,5,6,9,5,12,3,12,10,3,6,9,5,14,9,5,14,10,2,3,12,10
10,9,5,6,2,9,5,5,6,11,6,9,12,8,3,5,12,1,6,8,10,10,10,3,14
9,5,5,13,13,5,5,4,9,12,9,5,5,5,13,5,5,4,9,5,12,9,13,12,8
