12,8,9,12,8,8,9,12,8,8,8,9,12,8,9,12,10,8,9,12,8,9
6,0,0,3,5,4,0,2,1,5,5,5,5,4,2,1,12,3,5,6,3,5
12,3,4,9,4,3,6,9,6,1,6,2,3,4,8,2,1,12,0,9,12,1
4,9,6,1,5,12,10,0,8,0,10,9,12,1,4,9,5,4,0,1,4,1
5,5,12,1,4,1,12,1,5,6,9,6,1,4,2,2,1,4,1,5,5,5
6,1,4,1,5,6,2,2,1,12,1,12,1,4,9,12,0,1,5,5,4,1
12,3,4,2,3,12,9,12,2,1,5,4,0,1,4,1,5,5,5,4,3,5
4,8,0,10,8,1,6,3,12,2,0,3,5,6,3,6,2,2,1,5,12,1
5,5,5,12,1,4,8,10,0,9,4,9,4,10,8,9,12,9,4,0,1,5
4,2,1,5,4,0,2,9,5,4,3,4,3,12,2,0,0,1,4,0,0,1
4,9,4,2,2,1,12,0,1,5,12,2,9,4,10,3,5,4,0,2,1,5
5,5,4,9,12,2,2,1,6,1,4,9,4,0,10,10,2,1,5,12,2,1
4,0,1,6,2,10,9,5,12,0,3,6,0,2,9,12,10,1,5,5,12,1
6,1,5,12,9,12,0,1,4,1,12,8,0,10,1,4,10,3,4,1,5,5
12,2,1,5,6,1,4,1,5,4,2,2,0,9,4,2,8,8,2,3,4,1
5,12,0,2,9,5,5,4,2,3,12,8,0,1,4,10,3,5,12,8,0,1
6,0,3,12,2,1,5,5,12,10,0,1,5,4,2,9,12,0,2,0,3,5
12,2,9,4,10,0,1,4,3,12,1,5,4,2,9,6,0,2,9,4,9,5
4,8,2,2,9,5,4,0,8,0,1,4,3,12,3,12,1,12,1,5,4,1
6,2,10,10,2,2,2,2,2,2,2,2,10,2,10,2,2,3,6,2,2,3
